"Notes","Leading Cancer Sites","Leading Cancer Sites Code","State","State Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Deaths,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Colon and Rectum","21041-21052","Pennsylvania","42","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Pennsylvania","42","2022","2022","Female","F","Hispanic","2135-2",20,58174,42.4,25.5,65.9,9.7,34.4,21.0,53.1,7.7
,"Colon and Rectum","21041-21052","Pennsylvania","42","2022","2022","Female","F","Non-Hispanic","2186-5",893,1802359,50.0,46.7,53.4,1.7,49.5,46.3,52.9,1.7
,"Colon and Rectum","21041-21052","Pennsylvania","42","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Pennsylvania","42","2022","2022","Male","M","Hispanic","2135-2",20,49814,49.7,29.0,79.3,12.0,40.1,24.5,62.0,9.0
,"Colon and Rectum","21041-21052","Pennsylvania","42","2022","2022","Male","M","Non-Hispanic","2186-5",953,1523702,70.3,65.8,75.0,2.3,62.5,58.6,66.6,2.0
,"Colon and Rectum","21041-21052","Pennsylvania","42","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Pennsylvania","42","2023","2023","Female","F","Hispanic","2135-2",20,62059,37.4,22.5,58.3,8.6,32.2,19.7,49.8,7.2
,"Colon and Rectum","21041-21052","Pennsylvania","42","2023","2023","Female","F","Non-Hispanic","2186-5",912,1826881,50.1,46.8,53.4,1.7,49.9,46.7,53.3,1.7
,"Colon and Rectum","21041-21052","Pennsylvania","42","2023","2023","Male","M","Hispanic","2135-2",20,53154,49.7,29.2,78.7,11.9,37.6,23.0,58.1,8.4
,"Colon and Rectum","21041-21052","Pennsylvania","42","2023","2023","Male","M","Non-Hispanic","2186-5",1000,1547707,72.6,68.1,77.4,2.4,64.6,60.7,68.7,2.0
,"Colon and Rectum","21041-21052","Rhode Island","44","2018","2018","Female","F","Hispanic","2135-2",0,8534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Rhode Island","44","2018","2018","Female","F","Non-Hispanic","2186-5",75,132581,55.6,43.4,70.2,6.6,56.6,44.5,70.9,6.5
,"Colon and Rectum","21041-21052","Rhode Island","44","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2018","2018","Male","M","Non-Hispanic","2186-5",67,106573,72.4,55.8,92.2,9.0,62.9,48.7,79.8,7.7
,"Colon and Rectum","21041-21052","Rhode Island","44","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2019","2019","Female","F","Non-Hispanic","2186-5",77,135046,55.6,43.6,69.8,6.5,57.0,45.0,71.3,6.5
,"Colon and Rectum","21041-21052","Rhode Island","44","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2019","2019","Male","M","Non-Hispanic","2186-5",57,108990,59.4,44.8,77.3,8.0,52.3,39.6,67.8,6.9
,"Colon and Rectum","21041-21052","Rhode Island","44","2020","2020","Female","F","Non-Hispanic","2186-5",82,138250,58.9,46.6,73.5,6.7,59.3,47.2,73.6,6.6
,"Colon and Rectum","21041-21052","Rhode Island","44","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2020","2020","Male","M","Non-Hispanic","2186-5",48,114605,48.3,35.3,64.4,7.2,41.9,30.9,55.5,6.0
,"Colon and Rectum","21041-21052","Rhode Island","44","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2021","2021","Female","F","Non-Hispanic","2186-5",66,140916,46.9,36.1,59.9,5.9,46.8,36.2,59.6,5.8
,"Colon and Rectum","21041-21052","Rhode Island","44","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2021","2021","Male","M","Non-Hispanic","2186-5",61,117014,59.2,44.9,76.6,7.8,52.1,39.9,67.0,6.7
,"Colon and Rectum","21041-21052","Rhode Island","44","2022","2022","Female","F","Non-Hispanic","2186-5",52,143139,35.9,26.7,47.2,5.0,36.3,27.1,47.6,5.0
,"Colon and Rectum","21041-21052","Rhode Island","44","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2022","2022","Male","M","Hispanic","2135-2",0,8803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","Rhode Island","44","2022","2022","Male","M","Non-Hispanic","2186-5",55,119255,52.4,39.1,68.6,7.3,46.1,34.7,60.0,6.2
,"Colon and Rectum","21041-21052","Rhode Island","44","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2023","2023","Female","F","Non-Hispanic","2186-5",79,145298,54.6,43.1,68.1,6.2,54.4,43.0,67.8,6.1
,"Colon and Rectum","21041-21052","Rhode Island","44","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Rhode Island","44","2023","2023","Male","M","Non-Hispanic","2186-5",59,121562,55.8,42.2,72.4,7.5,48.5,36.9,62.6,6.3
,"Colon and Rectum","21041-21052","Rhode Island","44","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2018","2018","Female","F","Non-Hispanic","2186-5",287,667435,46.4,41.2,52.2,2.8,43.0,38.2,48.3,2.5
,"Colon and Rectum","21041-21052","South Carolina","45","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2018","2018","Male","M","Non-Hispanic","2186-5",362,545417,75.3,67.5,83.8,4.1,66.4,59.7,73.6,3.5
,"Colon and Rectum","21041-21052","South Carolina","45","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2019","2019","Female","F","Non-Hispanic","2186-5",293,690244,45.5,40.4,51.1,2.7,42.4,37.7,47.6,2.5
,"Colon and Rectum","21041-21052","South Carolina","45","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2019","2019","Male","M","Non-Hispanic","2186-5",372,563806,72.3,64.9,80.2,3.9,66.0,59.4,73.0,3.4
,"Colon and Rectum","21041-21052","South Carolina","45","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2020","2020","Female","F","Non-Hispanic","2186-5",306,677256,49.1,43.7,55.0,2.8,45.2,40.3,50.5,2.6
,"Colon and Rectum","21041-21052","South Carolina","45","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2020","2020","Male","M","Non-Hispanic","2186-5",397,564052,79.8,71.8,88.5,4.2,70.4,63.6,77.7,3.5
,"Colon and Rectum","21041-21052","South Carolina","45","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2021","2021","Female","F","Non-Hispanic","2186-5",320,696778,51.0,45.5,56.9,2.9,45.9,41.0,51.2,2.6
,"Colon and Rectum","21041-21052","South Carolina","45","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2021","2021","Male","M","Non-Hispanic","2186-5",354,579624,69.6,62.2,77.6,3.9,61.1,54.9,67.8,3.2
,"Colon and Rectum","21041-21052","South Carolina","45","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2022","2022","Female","F","Non-Hispanic","2186-5",384,719601,57.8,52.1,63.9,3.0,53.4,48.2,59.0,2.7
,"Colon and Rectum","21041-21052","South Carolina","45","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2022","2022","Male","M","Non-Hispanic","2186-5",413,598117,78.6,70.9,87.0,4.1,69.1,62.6,76.0,3.4
,"Colon and Rectum","21041-21052","South Carolina","45","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2023","2023","Female","F","Non-Hispanic","2186-5",310,743211,44.6,39.7,49.8,2.6,41.7,37.2,46.6,2.4
,"Colon and Rectum","21041-21052","South Carolina","45","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Carolina","45","2023","2023","Male","M","Non-Hispanic","2186-5",378,617937,67.2,60.3,74.6,3.6,61.2,55.2,67.7,3.1
,"Colon and Rectum","21041-21052","South Carolina","45","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2018","2018","Female","F","Non-Hispanic","2186-5",64,106431,59.4,45.3,76.5,7.7,60.1,46.3,76.8,7.5
,"Colon and Rectum","21041-21052","South Dakota","46","2018","2018","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2018","2018","Male","M","Hispanic","2135-2",0,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2018","2018","Male","M","Non-Hispanic","2186-5",77,95655,89.3,70.0,112.3,10.5,80.5,63.5,100.6,9.2
,"Colon and Rectum","21041-21052","South Dakota","46","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2019","2019","Female","F","Hispanic","2135-2",0,1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2019","2019","Female","F","Non-Hispanic","2186-5",63,109606,55.9,42.6,72.1,7.3,57.5,44.2,73.5,7.2
,"Colon and Rectum","21041-21052","South Dakota","46","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2019","2019","Male","M","Hispanic","2135-2",0,1108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2019","2019","Male","M","Non-Hispanic","2186-5",54,98714,64.9,48.5,85.0,9.0,54.7,41.1,71.4,7.4
,"Colon and Rectum","21041-21052","South Dakota","46","2019","2019","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2020","2020","Female","F","Hispanic","2135-2",0,1177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2020","2020","Female","F","Non-Hispanic","2186-5",61,109614,56.6,43.0,73.2,7.4,55.6,42.6,71.5,7.1
,"Colon and Rectum","21041-21052","South Dakota","46","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2020","2020","Male","M","Hispanic","2135-2",0,1210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2020","2020","Male","M","Non-Hispanic","2186-5",75,101274,87.6,68.2,110.5,10.5,74.1,58.3,92.8,8.6
,"Colon and Rectum","21041-21052","South Dakota","46","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2021","2021","Female","F","Hispanic","2135-2",0,1330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2021","2021","Female","F","Non-Hispanic","2186-5",66,112080,58.1,44.7,74.3,7.3,58.9,45.5,74.9,7.2
,"Colon and Rectum","21041-21052","South Dakota","46","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2021","2021","Male","M","Non-Hispanic","2186-5",68,103528,75.3,57.8,96.3,9.5,65.7,51.0,83.3,8.0
,"Colon and Rectum","21041-21052","South Dakota","46","2021","2021","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2022","2022","Female","F","Hispanic","2135-2",0,1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2022","2022","Female","F","Non-Hispanic","2186-5",62,115030,54.5,41.6,70.3,7.1,53.9,41.3,69.1,6.8
,"Colon and Rectum","21041-21052","South Dakota","46","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2022","2022","Male","M","Hispanic","2135-2",0,1481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2022","2022","Male","M","Non-Hispanic","2186-5",57,106778,63.8,47.7,83.5,8.8,53.4,40.4,69.2,7.1
,"Colon and Rectum","21041-21052","South Dakota","46","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2023","2023","Female","F","Hispanic","2135-2",0,1558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,"Colon and Rectum","21041-21052","South Dakota","46","2023","2023","Female","F","Non-Hispanic","2186-5",67,117548,58.7,45.3,74.8,7.3,57.0,44.2,72.4,7.0
,"Colon and Rectum","21041-21052","South Dakota","46","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","South Dakota","46","2023","2023","Male","M","Non-Hispanic","2186-5",68,109415,70.1,53.8,89.7,8.9,62.1,48.3,78.8,7.5
,"Colon and Rectum","21041-21052","South Dakota","46","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2018","2018","Female","F","Non-Hispanic","2186-5",416,832792,52.4,47.4,57.7,2.6,50.0,45.3,55.0,2.4
,"Colon and Rectum","21041-21052","Tennessee","47","2018","2018","Male","M","Non-Hispanic","2186-5",485,681499,80.3,73.1,88.1,3.8,71.2,65.0,77.8,3.2
,"Colon and Rectum","21041-21052","Tennessee","47","2018","2018","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2019","2019","Female","F","Non-Hispanic","2186-5",446,853858,54.5,49.6,59.9,2.6,52.2,47.5,57.3,2.5
,"Colon and Rectum","21041-21052","Tennessee","47","2019","2019","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2019","2019","Male","M","Non-Hispanic","2186-5",497,699580,79.8,72.7,87.4,3.7,71.0,64.9,77.6,3.2
,"Colon and Rectum","21041-21052","Tennessee","47","2020","2020","Female","F","Non-Hispanic","2186-5",431,845507,54.9,49.8,60.4,2.7,51.0,46.3,56.0,2.5
,"Colon and Rectum","21041-21052","Tennessee","47","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2020","2020","Male","M","Non-Hispanic","2186-5",494,709233,82.1,74.7,90.0,3.9,69.7,63.6,76.1,3.1
,"Colon and Rectum","21041-21052","Tennessee","47","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2021","2021","Female","F","Non-Hispanic","2186-5",447,861845,56.3,51.1,61.8,2.7,51.9,47.2,56.9,2.5
,"Colon and Rectum","21041-21052","Tennessee","47","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2021","2021","Male","M","Non-Hispanic","2186-5",510,722651,80.6,73.5,88.3,3.7,70.6,64.6,77.0,3.1
,"Colon and Rectum","21041-21052","Tennessee","47","2022","2022","Female","F","Non-Hispanic","2186-5",442,880246,54.2,49.2,59.5,2.6,50.2,45.6,55.1,2.4
,"Colon and Rectum","21041-21052","Tennessee","47","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2022","2022","Male","M","Non-Hispanic","2186-5",551,738110,84.5,77.3,92.1,3.7,74.7,68.5,81.2,3.2
,"Colon and Rectum","21041-21052","Tennessee","47","2023","2023","Female","F","Non-Hispanic","2186-5",488,900640,57.6,52.5,62.9,2.6,54.2,49.5,59.2,2.5
,"Colon and Rectum","21041-21052","Tennessee","47","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Tennessee","47","2023","2023","Male","M","Non-Hispanic","2186-5",555,756084,81.5,74.6,88.9,3.6,73.4,67.4,79.8,3.1
,"Colon and Rectum","21041-21052","Tennessee","47","2023","2023","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2018","2018","Female","F","Hispanic","2135-2",241,672220,39.3,34.4,44.7,2.6,35.9,31.5,40.7,2.3
,"Colon and Rectum","21041-21052","Texas","48","2018","2018","Female","F","Non-Hispanic","2186-5",1007,2103096,49.8,46.8,53.0,1.6,47.9,45.0,50.9,1.5
,"Colon and Rectum","21041-21052","Texas","48","2018","2018","Male","M","Hispanic","2135-2",386,558264,81.4,73.0,90.4,4.4,69.1,62.4,76.4,3.5
,"Colon and Rectum","21041-21052","Texas","48","2018","2018","Male","M","Non-Hispanic","2186-5",1240,1772109,77.8,73.4,82.4,2.3,70.0,66.1,74.0,2.0
,"Colon and Rectum","21041-21052","Texas","48","2019","2019","Female","F","Hispanic","2135-2",276,703516,43.2,38.2,48.7,2.7,39.2,34.7,44.1,2.4
,"Colon and Rectum","21041-21052","Texas","48","2019","2019","Female","F","Non-Hispanic","2186-5",1079,2160917,52.6,49.5,55.9,1.6,49.9,47.0,53.0,1.5
,"Colon and Rectum","21041-21052","Texas","48","2019","2019","Male","M","Hispanic","2135-2",377,587815,72.7,65.1,80.9,4.0,64.1,57.8,70.9,3.3
,"Colon and Rectum","21041-21052","Texas","48","2019","2019","Male","M","Non-Hispanic","2186-5",1248,1824205,76.2,71.9,80.7,2.2,68.4,64.7,72.3,1.9
,"Colon and Rectum","21041-21052","Texas","48","2020","2020","Female","F","Hispanic","2135-2",272,708271,42.5,37.5,48.0,2.7,38.4,34.0,43.2,2.3
,"Colon and Rectum","21041-21052","Texas","48","2020","2020","Female","F","Non-Hispanic","2186-5",1082,2172902,52.7,49.6,56.0,1.6,49.8,46.9,52.9,1.5
,"Colon and Rectum","21041-21052","Texas","48","2020","2020","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2020","2020","Male","M","Hispanic","2135-2",378,608470,71.7,64.2,79.9,3.9,62.1,56.0,68.7,3.2
,"Colon and Rectum","21041-21052","Texas","48","2020","2020","Male","M","Non-Hispanic","2186-5",1303,1873876,78.6,74.2,83.1,2.3,69.5,65.8,73.4,1.9
,"Colon and Rectum","21041-21052","Texas","48","2020","2020","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2021","2021","Female","F","Hispanic","2135-2",306,735569,46.3,41.1,52.0,2.7,41.6,37.1,46.5,2.4
,"Colon and Rectum","21041-21052","Texas","48","2021","2021","Female","F","Non-Hispanic","2186-5",1113,2221363,53.6,50.5,56.9,1.6,50.1,47.2,53.1,1.5
,"Colon and Rectum","21041-21052","Texas","48","2021","2021","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2021","2021","Male","M","Hispanic","2135-2",424,632418,79.4,71.5,88.0,4.2,67.0,60.8,73.7,3.3
,"Colon and Rectum","21041-21052","Texas","48","2021","2021","Male","M","Non-Hispanic","2186-5",1358,1914002,80.7,76.3,85.3,2.3,71.0,67.2,74.8,1.9
,"Colon and Rectum","21041-21052","Texas","48","2022","2022","Female","F","Hispanic","2135-2",304,768689,44.8,39.7,50.2,2.6,39.5,35.2,44.3,2.3
,"Colon and Rectum","21041-21052","Texas","48","2022","2022","Female","F","Non-Hispanic","2186-5",1112,2277216,52.0,49.0,55.2,1.6,48.8,46.0,51.8,1.5
,"Colon and Rectum","21041-21052","Texas","48","2022","2022","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2022","2022","Male","M","Hispanic","2135-2",434,662892,79.3,71.5,87.8,4.1,65.5,59.5,71.9,3.1
,"Colon and Rectum","21041-21052","Texas","48","2022","2022","Male","M","Non-Hispanic","2186-5",1344,1959482,76.8,72.6,81.2,2.2,68.6,65.0,72.4,1.9
,"Colon and Rectum","21041-21052","Texas","48","2022","2022","Male","M","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2023","2023","Female","F","Hispanic","2135-2",307,804520,43.4,38.5,48.6,2.5,38.2,34.0,42.7,2.2
,"Colon and Rectum","21041-21052","Texas","48","2023","2023","Female","F","Non-Hispanic","2186-5",1155,2331706,52.7,49.7,55.8,1.6,49.5,46.7,52.5,1.5
,"Colon and Rectum","21041-21052","Texas","48","2023","2023","Female","F","Unknown or Missing","UNK",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Colon and Rectum","21041-21052","Texas","48","2023","2023","Male","M","Hispanic","2135-2",464,696715,80.2,72.6,88.5,4.0,66.6,60.7,72.9,3.1
,"Colon and Rectum","21041-21052","Texas","48","2023","2023","Male","M","Non-Hispanic","2186-5",1400,2007900,77.8,73.7,82.2,2.2,69.7,66.1,73.5,1.9
,"Colon and Rectum","21041-21052","Utah","49","2018","2018","Female","F","Non-Hispanic","2186-5",99,243464,43.2,35.0,52.7,4.4,40.7,33.0,49.5,4.1
