"Notes","Leading Cancer Sites","Leading Cancer Sites Code","States","States Code","Year","Year Code","Sex","Sex Code","Ethnicity","Ethnicity Code",Count,Population,Age-Adjusted Rate,Age-Adjusted Rate Lower 95% Confidence Interval,Age-Adjusted Rate Upper 95% Confidence Interval,Age-Adjusted Rate Standard Error,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
,"Colon and Rectum","21041-21052","North Carolina","37","2011","2011","Female","F","Non-Hispanic","2186-5",1383,1008477,141.5,134.1,149.3,3.9,137.1,130.0,144.6,3.7
,"Colon and Rectum","21041-21052","North Carolina","37","2011","2011","Male","M","Hispanic","2135-2",19,14508,173.2,100.6,277.9,42.2,131.0,78.8,204.5,30.0
,"Colon and Rectum","21041-21052","North Carolina","37","2011","2011","Male","M","Non-Hispanic","2186-5",1444,796364,199.5,189.0,210.5,5.4,181.3,172.1,190.9,4.8
,"Colon and Rectum","21041-21052","North Carolina","37","2012","2012","Female","F","Hispanic","2135-2",19,17829,113.0,66.3,180.4,27.1,106.6,64.2,166.4,24.4
,"Colon and Rectum","21041-21052","North Carolina","37","2012","2012","Female","F","Non-Hispanic","2186-5",1256,1035152,125.9,118.9,133.1,3.6,121.3,114.7,128.2,3.4
,"Colon and Rectum","21041-21052","North Carolina","37","2012","2012","Male","M","Non-Hispanic","2186-5",1408,822879,184.8,175.0,195.1,5.1,171.1,162.3,180.3,4.6
,"Colon and Rectum","21041-21052","North Carolina","37","2013","2013","Female","F","Non-Hispanic","2186-5",1337,1061749,130.7,123.7,138.0,3.6,125.9,119.3,132.9,3.4
,"Colon and Rectum","21041-21052","North Carolina","37","2013","2013","Male","M","Hispanic","2135-2",20,17578,131.2,75.9,212.1,32.2,113.8,69.5,175.7,25.4
,"Colon and Rectum","21041-21052","North Carolina","37","2013","2013","Male","M","Non-Hispanic","2186-5",1438,848998,185.2,175.4,195.4,5.1,169.4,160.7,178.4,4.5
,"Colon and Rectum","21041-21052","North Carolina","37","2014","2014","Female","F","Non-Hispanic","2186-5",1393,1091050,132.8,125.8,140.1,3.6,127.7,121.1,134.6,3.4
,"Colon and Rectum","21041-21052","North Carolina","37","2014","2014","Male","M","Hispanic","2135-2",20,19273,105.5,61.0,172.0,25.9,103.8,63.4,160.3,23.2
,"Colon and Rectum","21041-21052","North Carolina","37","2014","2014","Male","M","Non-Hispanic","2186-5",1446,876318,180.5,170.9,190.4,4.9,165.0,156.6,173.7,4.3
,"Colon and Rectum","21041-21052","North Carolina","37","2015","2015","Female","F","Hispanic","2135-2",33,23581,146.7,98.6,210.4,27.0,139.9,96.3,196.5,24.4
,"Colon and Rectum","21041-21052","North Carolina","37","2015","2015","Female","F","Non-Hispanic","2186-5",1477,1119557,137.4,130.4,144.7,3.6,131.9,125.3,138.8,3.4
,"Colon and Rectum","21041-21052","North Carolina","37","2015","2015","Male","M","Hispanic","2135-2",21,21271,118.6,69.8,188.9,28.3,98.7,61.1,150.9,21.5
,"Colon and Rectum","21041-21052","North Carolina","37","2015","2015","Male","M","Non-Hispanic","2186-5",1477,903729,174.0,164.9,183.5,4.7,163.4,155.2,172.0,4.3
,"Colon and Rectum","21041-21052","North Carolina","37","2016","2016","Female","F","Hispanic","2135-2",20,25880,99.6,59.4,155.7,23.2,77.3,47.2,119.4,17.3
,"Colon and Rectum","21041-21052","North Carolina","37","2016","2016","Female","F","Non-Hispanic","2186-5",1353,1148507,121.8,115.3,128.6,3.4,117.8,111.6,124.3,3.2
,"Colon and Rectum","21041-21052","North Carolina","37","2016","2016","Male","M","Hispanic","2135-2",26,23577,135.2,84.7,205.1,28.8,110.3,72.0,161.6,21.6
,"Colon and Rectum","21041-21052","North Carolina","37","2016","2016","Male","M","Non-Hispanic","2186-5",1525,931929,174.7,165.7,184.1,4.7,163.6,155.5,172.1,4.2
,"Colon and Rectum","21041-21052","North Carolina","37","2017","2017","Female","F","Hispanic","2135-2",36,28434,155.5,107.0,218.1,27.1,126.6,88.7,175.3,21.1
,"Colon and Rectum","21041-21052","North Carolina","37","2017","2017","Female","F","Non-Hispanic","2186-5",1429,1178426,126.3,119.7,133.1,3.4,121.3,115.1,127.7,3.2
,"Colon and Rectum","21041-21052","North Carolina","37","2017","2017","Male","M","Hispanic","2135-2",30,26110,143.8,92.5,213.2,29.1,114.9,77.5,164.0,21.0
,"Colon and Rectum","21041-21052","North Carolina","37","2017","2017","Male","M","Non-Hispanic","2186-5",1485,960261,167.7,158.9,176.8,4.5,154.6,146.9,162.7,4.0
,"Colon and Rectum","21041-21052","North Carolina","37","2018","2018","Female","F","Hispanic","2135-2",28,31476,92.1,59.7,136.4,18.4,89.0,59.1,128.6,16.8
,"Colon and Rectum","21041-21052","North Carolina","37","2018","2018","Female","F","Non-Hispanic","2186-5",1476,1208290,128.0,121.5,134.8,3.4,122.2,116.0,128.6,3.2
,"Colon and Rectum","21041-21052","North Carolina","37","2018","2018","Male","M","Hispanic","2135-2",22,28997,103.6,60.8,163.8,24.8,75.9,47.5,114.9,16.2
,"Colon and Rectum","21041-21052","North Carolina","37","2018","2018","Male","M","Non-Hispanic","2186-5",1543,988952,168.2,159.6,177.1,4.5,156.0,148.3,164.0,4.0
,"Colon and Rectum","21041-21052","North Carolina","37","2019","2019","Female","F","Hispanic","2135-2",36,34563,118.2,80.9,166.6,20.8,104.2,73.0,144.2,17.4
,"Colon and Rectum","21041-21052","North Carolina","37","2019","2019","Female","F","Non-Hispanic","2186-5",1474,1238232,124.8,118.5,131.4,3.3,119.0,113.0,125.3,3.1
,"Colon and Rectum","21041-21052","North Carolina","37","2019","2019","Male","M","Hispanic","2135-2",28,32284,92.2,57.9,140.4,19.6,86.7,57.6,125.3,16.4
,"Colon and Rectum","21041-21052","North Carolina","37","2019","2019","Male","M","Non-Hispanic","2186-5",1515,1015585,161.3,152.9,169.9,4.3,149.2,141.8,156.9,3.8
,"Colon and Rectum","21041-21052","North Carolina","37","2020","2020","Female","F","Hispanic","2135-2",29,38561,78.4,51.1,115.4,15.4,75.2,50.4,108.0,14.0
,"Colon and Rectum","21041-21052","North Carolina","37","2020","2020","Female","F","Non-Hispanic","2186-5",1306,1269923,107.4,101.6,113.4,3.0,102.8,97.3,108.6,2.8
,"Colon and Rectum","21041-21052","North Carolina","37","2020","2020","Male","M","Hispanic","2135-2",34,36337,115.8,76.6,168.0,22.1,93.6,64.8,130.8,16.0
,"Colon and Rectum","21041-21052","North Carolina","37","2020","2020","Male","M","Non-Hispanic","2186-5",1324,1044730,135.6,128.1,143.4,3.9,126.7,120.0,133.7,3.5
,"Colon and Rectum","21041-21052","North Carolina","37","2021","2021","Female","F","Hispanic","2135-2",27,41882,79.8,51.5,117.9,16.1,64.5,42.5,93.8,12.4
,"Colon and Rectum","21041-21052","North Carolina","37","2021","2021","Female","F","Non-Hispanic","2186-5",1490,1299729,119.4,113.3,125.7,3.1,114.6,108.9,120.6,3.0
,"Colon and Rectum","21041-21052","North Carolina","37","2021","2021","Male","M","Hispanic","2135-2",39,39620,124.2,84.4,176.0,22.3,98.4,70.0,134.6,15.8
,"Colon and Rectum","21041-21052","North Carolina","37","2021","2021","Male","M","Non-Hispanic","2186-5",1475,1070523,149.2,141.4,157.3,4.0,137.8,130.8,145.0,3.6
,"Colon and Rectum","21041-21052","North Carolina","37","2022","2022","Female","F","Hispanic","2135-2",27,45805,63.5,40.6,94.8,13.0,58.9,38.8,85.8,11.3
,"Colon and Rectum","21041-21052","North Carolina","37","2022","2022","Female","F","Non-Hispanic","2186-5",1347,1334309,104.9,99.3,110.7,2.9,101.0,95.6,106.5,2.8
,"Colon and Rectum","21041-21052","North Carolina","37","2022","2022","Male","M","Hispanic","2135-2",49,43448,114.1,81.2,156.8,18.3,112.8,83.4,149.1,16.1
,"Colon and Rectum","21041-21052","North Carolina","37","2022","2022","Male","M","Non-Hispanic","2186-5",1489,1099597,146.3,138.7,154.2,3.9,135.4,128.6,142.5,3.5
,"Colon and Rectum","21041-21052","North Dakota","38","1999","1999","Female","F","Non-Hispanic","2186-5",144,67273,203.8,171.1,240.8,17.4,214.1,180.5,252.0,17.8
,"Colon and Rectum","21041-21052","North Dakota","38","1999","1999","Male","M","Non-Hispanic","2186-5",174,51783,338.5,290.1,392.8,25.7,336.0,287.9,389.8,25.5
,"Colon and Rectum","21041-21052","North Dakota","38","2000","2000","Female","F","Non-Hispanic","2186-5",173,67120,243.5,207.9,283.5,18.9,257.7,220.8,299.1,19.6
,"Colon and Rectum","21041-21052","North Dakota","38","2000","2000","Male","M","Non-Hispanic","2186-5",150,51669,288.3,244.0,338.4,23.6,290.3,245.7,340.7,23.7
,"Colon and Rectum","21041-21052","North Dakota","38","2001","2001","Female","F","Non-Hispanic","2186-5",170,66894,232.6,198.1,271.5,18.3,254.1,217.4,295.3,19.5
,"Colon and Rectum","21041-21052","North Dakota","38","2001","2001","Male","M","Non-Hispanic","2186-5",168,51613,327.0,279.4,380.4,25.2,325.5,278.1,378.6,25.1
,"Colon and Rectum","21041-21052","North Dakota","38","2002","2002","Female","F","Non-Hispanic","2186-5",158,66715,217.1,183.7,254.9,17.8,236.8,201.3,276.8,18.8
,"Colon and Rectum","21041-21052","North Dakota","38","2002","2002","Male","M","Non-Hispanic","2186-5",161,51872,311.5,265.2,363.5,24.6,310.4,264.3,362.2,24.5
,"Colon and Rectum","21041-21052","North Dakota","38","2003","2003","Female","F","Non-Hispanic","2186-5",156,66872,224.9,190.3,264.0,18.4,233.3,198.1,272.9,18.7
,"Colon and Rectum","21041-21052","North Dakota","38","2003","2003","Male","M","Non-Hispanic","2186-5",194,52351,373.6,322.9,430.1,26.8,370.6,320.3,426.6,26.6
,"Colon and Rectum","21041-21052","North Dakota","38","2004","2004","Female","F","Non-Hispanic","2186-5",160,67447,214.7,181.8,252.0,17.5,237.2,201.9,277.0,18.8
,"Colon and Rectum","21041-21052","North Dakota","38","2004","2004","Male","M","Non-Hispanic","2186-5",177,53243,335.9,288.2,389.2,25.3,332.4,285.3,385.2,25.0
,"Colon and Rectum","21041-21052","North Dakota","38","2005","2005","Female","F","Non-Hispanic","2186-5",162,67539,223.1,189.3,261.3,18.0,239.9,204.3,279.8,18.8
,"Colon and Rectum","21041-21052","North Dakota","38","2005","2005","Male","M","Non-Hispanic","2186-5",165,53789,309.4,263.9,360.4,24.1,306.8,261.7,357.3,23.9
,"Colon and Rectum","21041-21052","North Dakota","38","2006","2006","Female","F","Non-Hispanic","2186-5",134,68226,180.7,150.5,215.2,16.1,196.4,164.6,232.6,17.0
,"Colon and Rectum","21041-21052","North Dakota","38","2006","2006","Male","M","Non-Hispanic","2186-5",159,54389,295.9,251.6,345.8,23.5,292.3,248.7,341.5,23.2
,"Colon and Rectum","21041-21052","North Dakota","38","2007","2007","Female","F","Non-Hispanic","2186-5",147,69201,195.4,164.2,230.9,16.6,212.4,179.5,249.7,17.5
,"Colon and Rectum","21041-21052","North Dakota","38","2007","2007","Male","M","Non-Hispanic","2186-5",189,55903,344.7,297.1,397.7,25.2,338.1,291.6,389.9,24.6
,"Colon and Rectum","21041-21052","North Dakota","38","2008","2008","Female","F","Non-Hispanic","2186-5",167,70228,218.7,185.8,255.7,17.5,237.8,203.1,276.7,18.4
,"Colon and Rectum","21041-21052","North Dakota","38","2008","2008","Male","M","Non-Hispanic","2186-5",161,57449,284.5,242.0,332.3,22.6,280.2,238.6,327.0,22.1
,"Colon and Rectum","21041-21052","North Dakota","38","2009","2009","Female","F","Non-Hispanic","2186-5",128,71187,169.9,141.1,203.0,15.4,179.8,150.0,213.8,15.9
,"Colon and Rectum","21041-21052","North Dakota","38","2009","2009","Male","M","Non-Hispanic","2186-5",128,58950,224.8,187.2,267.7,20.1,217.1,181.1,258.2,19.2
,"Colon and Rectum","21041-21052","North Dakota","38","2010","2010","Female","F","Non-Hispanic","2186-5",130,72512,177.2,147.3,211.3,15.9,179.3,149.8,212.9,15.7
,"Colon and Rectum","21041-21052","North Dakota","38","2010","2010","Male","M","Non-Hispanic","2186-5",149,60806,260.1,219.6,305.8,21.5,245.0,207.3,287.7,20.1
,"Colon and Rectum","21041-21052","North Dakota","38","2011","2011","Female","F","Non-Hispanic","2186-5",138,73736,173.2,144.6,205.7,15.2,187.2,157.2,221.1,15.9
,"Colon and Rectum","21041-21052","North Dakota","38","2011","2011","Male","M","Non-Hispanic","2186-5",136,62631,232.0,194.2,275.0,20.2,217.1,182.2,256.9,18.6
,"Colon and Rectum","21041-21052","North Dakota","38","2012","2012","Female","F","Non-Hispanic","2186-5",132,75013,172.7,143.7,205.9,15.5,176.0,147.2,208.7,15.3
,"Colon and Rectum","21041-21052","North Dakota","38","2012","2012","Male","M","Non-Hispanic","2186-5",158,64704,263.4,223.2,308.6,21.3,244.2,207.6,285.4,19.4
,"Colon and Rectum","21041-21052","North Dakota","38","2013","2013","Female","F","Non-Hispanic","2186-5",146,76246,196.7,165.4,232.2,16.7,191.5,161.7,225.2,15.8
,"Colon and Rectum","21041-21052","North Dakota","38","2013","2013","Male","M","Non-Hispanic","2186-5",137,66800,217.4,181.7,258.0,19.0,205.1,172.2,242.4,17.5
,"Colon and Rectum","21041-21052","North Dakota","38","2014","2014","Female","F","Non-Hispanic","2186-5",124,77699,161.5,133.7,193.3,14.9,159.6,132.7,190.3,14.3
,"Colon and Rectum","21041-21052","North Dakota","38","2014","2014","Male","M","Non-Hispanic","2186-5",131,68909,202.1,168.2,240.8,18.1,190.1,158.9,225.6,16.6
,"Colon and Rectum","21041-21052","North Dakota","38","2015","2015","Female","F","Non-Hispanic","2186-5",112,79405,139.6,114.2,169.0,13.6,141.0,116.1,169.7,13.3
,"Colon and Rectum","21041-21052","North Dakota","38","2015","2015","Male","M","Non-Hispanic","2186-5",131,71143,203.8,169.6,242.9,18.3,184.1,154.0,218.5,16.1
,"Colon and Rectum","21041-21052","North Dakota","38","2016","2016","Female","F","Non-Hispanic","2186-5",109,81110,133.5,108.9,162.1,13.2,134.4,110.3,162.1,12.9
,"Colon and Rectum","21041-21052","North Dakota","38","2016","2016","Male","M","Non-Hispanic","2186-5",128,73143,190.4,157.9,227.4,17.3,175.0,146.0,208.1,15.5
,"Colon and Rectum","21041-21052","North Dakota","38","2017","2017","Female","F","Non-Hispanic","2186-5",137,83045,174.9,146.0,207.6,15.4,165.0,138.5,195.0,14.1
,"Colon and Rectum","21041-21052","North Dakota","38","2017","2017","Male","M","Non-Hispanic","2186-5",124,75211,176.1,145.6,211.1,16.3,164.9,137.1,196.6,14.8
,"Colon and Rectum","21041-21052","North Dakota","38","2018","2018","Female","F","Non-Hispanic","2186-5",111,84918,128.2,104.9,155.2,12.5,130.7,107.5,157.4,12.4
,"Colon and Rectum","21041-21052","North Dakota","38","2018","2018","Male","M","Non-Hispanic","2186-5",139,77293,201.6,168.6,239.1,17.6,179.8,151.2,212.3,15.3
,"Colon and Rectum","21041-21052","North Dakota","38","2019","2019","Female","F","Non-Hispanic","2186-5",117,86724,141.4,116.4,170.1,13.4,134.9,111.6,161.7,12.5
,"Colon and Rectum","21041-21052","North Dakota","38","2019","2019","Male","M","Non-Hispanic","2186-5",124,79261,166.5,137.7,199.6,15.4,156.4,130.1,186.5,14.0
,"Colon and Rectum","21041-21052","North Dakota","38","2020","2020","Female","F","Non-Hispanic","2186-5",108,88398,125.9,102.8,152.7,12.4,122.2,100.2,147.5,11.8
,"Colon and Rectum","21041-21052","North Dakota","38","2020","2020","Male","M","Non-Hispanic","2186-5",118,81061,154.6,127.2,186.2,14.7,145.6,120.5,174.3,13.4
,"Colon and Rectum","21041-21052","North Dakota","38","2021","2021","Female","F","Non-Hispanic","2186-5",139,89447,156.4,130.9,185.3,13.6,155.4,130.6,183.5,13.2
,"Colon and Rectum","21041-21052","North Dakota","38","2021","2021","Male","M","Non-Hispanic","2186-5",120,82249,161.3,132.8,193.9,15.2,145.9,121.0,174.5,13.3
,"Colon and Rectum","21041-21052","North Dakota","38","2022","2022","Female","F","Non-Hispanic","2186-5",110,91006,123.8,101.3,149.7,12.0,120.9,99.3,145.7,11.5
,"Colon and Rectum","21041-21052","North Dakota","38","2022","2022","Male","M","Non-Hispanic","2186-5",123,83895,150.3,124.3,180.3,13.9,146.6,121.8,174.9,13.2
,"Colon and Rectum","21041-21052","Ohio","39","1999","1999","Female","F","Non-Hispanic","2186-5",2836,1133541,241.0,232.1,250.0,4.5,250.2,241.1,259.6,4.7
,"Colon and Rectum","21041-21052","Ohio","39","1999","1999","Male","M","Non-Hispanic","2186-5",2767,814867,358.3,344.8,372.2,7.0,339.6,327.0,352.5,6.5
,"Colon and Rectum","21041-21052","Ohio","39","2000","2000","Female","F","Non-Hispanic","2186-5",2790,1133786,236.6,227.9,245.6,4.5,246.1,237.0,255.4,4.7
,"Colon and Rectum","21041-21052","Ohio","39","2000","2000","Male","M","Non-Hispanic","2186-5",2498,818883,318.9,306.3,331.9,6.5,305.0,293.2,317.3,6.1
,"Colon and Rectum","21041-21052","Ohio","39","2001","2001","Female","F","Non-Hispanic","2186-5",2785,1134967,236.0,227.2,244.9,4.5,245.4,236.4,254.7,4.6
,"Colon and Rectum","21041-21052","Ohio","39","2001","2001","Male","M","Non-Hispanic","2186-5",2540,824621,320.4,307.9,333.3,6.5,308.0,296.2,320.2,6.1
,"Colon and Rectum","21041-21052","Ohio","39","2002","2002","Female","F","Non-Hispanic","2186-5",2678,1140466,226.1,217.5,234.8,4.4,234.8,226.0,243.9,4.5
,"Colon and Rectum","21041-21052","Ohio","39","2002","2002","Male","M","Non-Hispanic","2186-5",2612,835126,328.6,315.9,341.6,6.5,312.8,300.9,325.0,6.1
,"Colon and Rectum","21041-21052","Ohio","39","2003","2003","Female","F","Non-Hispanic","2186-5",2598,1152331,217.1,208.7,225.6,4.3,225.5,216.9,234.3,4.4
,"Colon and Rectum","21041-21052","Ohio","39","2003","2003","Male","M","Hispanic","2135-2",18,7459,251.0,146.7,404.4,60.6,241.3,143.0,381.4,56.9
,"Colon and Rectum","21041-21052","Ohio","39","2003","2003","Male","M","Non-Hispanic","2186-5",2511,851219,309.1,297.0,321.6,6.2,295.0,283.6,306.8,5.9
,"Colon and Rectum","21041-21052","Ohio","39","2004","2004","Female","F","Non-Hispanic","2186-5",2550,1156540,213.1,204.8,221.6,4.3,220.5,212.0,229.2,4.4
,"Colon and Rectum","21041-21052","Ohio","39","2004","2004","Male","M","Non-Hispanic","2186-5",2509,860873,307.5,295.4,319.9,6.2,291.4,280.2,303.1,5.8
,"Colon and Rectum","21041-21052","Ohio","39","2005","2005","Female","F","Non-Hispanic","2186-5",2593,1160724,215.8,207.5,224.3,4.3,223.4,214.9,232.2,4.4
,"Colon and Rectum","21041-21052","Ohio","39","2005","2005","Male","M","Non-Hispanic","2186-5",2325,869856,282.1,270.6,293.9,5.9,267.3,256.5,278.4,5.5
,"Colon and Rectum","21041-21052","Ohio","39","2006","2006","Female","F","Hispanic","2135-2",18,10481,180.6,106.4,286.9,43.0,171.7,101.8,271.4,40.5
,"Colon and Rectum","21041-21052","Ohio","39","2006","2006","Female","F","Non-Hispanic","2186-5",2504,1168019,207.6,199.5,216.0,4.2,214.4,206.1,222.9,4.3
,"Colon and Rectum","21041-21052","Ohio","39","2006","2006","Male","M","Hispanic","2135-2",24,8681,318.8,199.8,481.9,67.9,276.5,177.1,411.4,56.4
,"Colon and Rectum","21041-21052","Ohio","39","2006","2006","Male","M","Non-Hispanic","2186-5",2334,882499,277.1,265.8,288.7,5.8,264.5,253.9,275.4,5.5
,"Colon and Rectum","21041-21052","Ohio","39","2007","2007","Female","F","Hispanic","2135-2",19,11083,180.0,107.2,283.4,42.1,171.4,103.2,267.7,39.3
,"Colon and Rectum","21041-21052","Ohio","39","2007","2007","Female","F","Non-Hispanic","2186-5",2441,1198749,197.9,190.0,206.0,4.1,203.6,195.6,211.9,4.1
,"Colon and Rectum","21041-21052","Ohio","39","2007","2007","Male","M","Hispanic","2135-2",24,9276,304.2,190.8,459.4,64.8,258.7,165.8,385.0,52.8
,"Colon and Rectum","21041-21052","Ohio","39","2007","2007","Male","M","Non-Hispanic","2186-5",2245,916351,261.8,250.9,272.9,5.6,245.0,235.0,255.3,5.2
,"Colon and Rectum","21041-21052","Ohio","39","2008","2008","Female","F","Non-Hispanic","2186-5",2417,1223117,193.0,185.3,201.0,4.0,197.6,189.8,205.6,4.0
,"Colon and Rectum","21041-21052","Ohio","39","2008","2008","Male","M","Non-Hispanic","2186-5",2224,943736,253.3,242.7,264.2,5.4,235.7,226.0,245.7,5.0
,"Colon and Rectum","21041-21052","Ohio","39","2009","2009","Female","F","Hispanic","2135-2",17,12443,145.8,84.2,234.9,35.8,136.6,79.6,218.7,33.1
,"Colon and Rectum","21041-21052","Ohio","39","2009","2009","Female","F","Non-Hispanic","2186-5",2262,1247510,179.5,172.1,187.1,3.8,181.3,173.9,189.0,3.8
,"Colon and Rectum","21041-21052","Ohio","39","2009","2009","Male","M","Non-Hispanic","2186-5",2200,972171,245.2,234.9,255.8,5.3,226.3,216.9,236.0,4.8
,"Colon and Rectum","21041-21052","Ohio","39","2010","2010","Female","F","Non-Hispanic","2186-5",2026,1273308,159.3,152.3,166.5,3.6,159.1,152.3,166.2,3.5
,"Colon and Rectum","21041-21052","Ohio","39","2010","2010","Male","M","Hispanic","2135-2",18,11115,159.4,90.9,260.9,40.0,161.9,96.0,255.9,38.2
,"Colon and Rectum","21041-21052","Ohio","39","2010","2010","Male","M","Non-Hispanic","2186-5",2058,1000937,223.4,213.7,233.4,5.0,205.6,196.8,214.7,4.5
,"Colon and Rectum","21041-21052","Ohio","39","2011","2011","Female","F","Non-Hispanic","2186-5",2054,1295528,159.1,152.1,166.2,3.6,158.5,151.8,165.6,3.5
,"Colon and Rectum","21041-21052","Ohio","39","2011","2011","Male","M","Non-Hispanic","2186-5",2108,1028124,225.1,215.4,235.1,5.0,205.0,196.4,214.0,4.5
,"Colon and Rectum","21041-21052","Ohio","39","2012","2012","Female","F","Non-Hispanic","2186-5",1974,1317944,151.1,144.4,158.1,3.5,149.8,143.2,156.5,3.4
,"Colon and Rectum","21041-21052","Ohio","39","2012","2012","Male","M","Hispanic","2135-2",19,12766,168.5,98.1,269.7,40.9,148.8,89.6,232.4,34.1
,"Colon and Rectum","21041-21052","Ohio","39","2012","2012","Male","M","Non-Hispanic","2186-5",2001,1056745,206.4,197.2,215.8,4.7,189.4,181.1,197.8,4.2
,"Colon and Rectum","21041-21052","Ohio","39","2013","2013","Female","F","Non-Hispanic","2186-5",2017,1340767,152.4,145.8,159.3,3.4,150.4,143.9,157.1,3.3
,"Colon and Rectum","21041-21052","Ohio","39","2013","2013","Male","M","Hispanic","2135-2",17,13734,157.0,89.2,254.9,39.6,123.8,72.1,198.2,30.0
,"Colon and Rectum","21041-21052","Ohio","39","2013","2013","Male","M","Non-Hispanic","2186-5",2036,1084780,204.0,195.1,213.3,4.6,187.7,179.6,196.0,4.2
,"Colon and Rectum","21041-21052","Ohio","39","2014","2014","Female","F","Hispanic","2135-2",18,16907,119.2,70.2,189.0,28.4,106.5,63.1,168.3,25.1
,"Colon and Rectum","21041-21052","Ohio","39","2014","2014","Female","F","Non-Hispanic","2186-5",2093,1367171,156.7,150.0,163.7,3.5,153.1,146.6,159.8,3.3
,"Colon and Rectum","21041-21052","Ohio","39","2014","2014","Male","M","Hispanic","2135-2",19,14727,141.8,81.8,228.8,34.9,129.0,77.7,201.5,29.6
,"Colon and Rectum","21041-21052","Ohio","39","2014","2014","Male","M","Non-Hispanic","2186-5",2110,1115212,206.4,197.4,215.6,4.6,189.2,181.2,197.5,4.1
,"Colon and Rectum","21041-21052","Ohio","39","2015","2015","Female","F","Hispanic","2135-2",16,18052,96.4,54.4,158.0,24.6,88.6,50.7,143.9,22.2
,"Colon and Rectum","21041-21052","Ohio","39","2015","2015","Female","F","Non-Hispanic","2186-5",2082,1392753,154.3,147.6,161.2,3.4,149.5,143.1,156.1,3.3
,"Colon and Rectum","21041-21052","Ohio","39","2015","2015","Male","M","Hispanic","2135-2",21,15774,152.3,91.0,239.2,35.4,133.1,82.4,203.5,29.1
,"Colon and Rectum","21041-21052","Ohio","39","2015","2015","Male","M","Non-Hispanic","2186-5",2186,1144966,208.9,200.0,218.2,4.6,190.9,183.0,199.1,4.1
,"Colon and Rectum","21041-21052","Ohio","39","2016","2016","Female","F","Hispanic","2135-2",20,19329,106.9,64.3,167.4,24.6,103.5,63.2,159.8,23.1
,"Colon and Rectum","21041-21052","Ohio","39","2016","2016","Female","F","Non-Hispanic","2186-5",2087,1418719,152.0,145.5,158.8,3.4,147.1,140.9,153.6,3.2
,"Colon and Rectum","21041-21052","Ohio","39","2016","2016","Male","M","Non-Hispanic","2186-5",2064,1174770,194.5,185.9,203.4,4.4,175.7,168.2,183.4,3.9
,"Colon and Rectum","21041-21052","Ohio","39","2017","2017","Female","F","Hispanic","2135-2",17,20727,89.9,51.4,145.8,22.5,82.0,47.8,131.3,19.9
,"Colon and Rectum","21041-21052","Ohio","39","2017","2017","Female","F","Non-Hispanic","2186-5",2041,1446898,145.4,139.0,151.9,3.3,141.1,135.0,147.3,3.1
,"Colon and Rectum","21041-21052","Ohio","39","2017","2017","Male","M","Hispanic","2135-2",31,17982,183.5,120.9,267.6,35.3,172.4,117.1,244.7,31.0
,"Colon and Rectum","21041-21052","Ohio","39","2017","2017","Male","M","Non-Hispanic","2186-5",2059,1205652,185.8,177.6,194.2,4.2,170.8,163.5,178.3,3.8
,"Colon and Rectum","21041-21052","Ohio","39","2018","2018","Female","F","Hispanic","2135-2",17,22162,92.8,53.4,149.2,23.0,76.7,44.7,122.8,18.6
,"Colon and Rectum","21041-21052","Ohio","39","2018","2018","Female","F","Non-Hispanic","2186-5",2076,1474889,146.0,139.7,152.5,3.2,140.8,134.8,146.9,3.1
,"Colon and Rectum","21041-21052","Ohio","39","2018","2018","Male","M","Hispanic","2135-2",17,19323,87.3,48.7,145.9,22.7,88.0,51.2,140.9,21.3
,"Colon and Rectum","21041-21052","Ohio","39","2018","2018","Male","M","Non-Hispanic","2186-5",2105,1235092,187.2,179.0,195.6,4.2,170.4,163.2,177.9,3.7
,"Colon and Rectum","21041-21052","Ohio","39","2019","2019","Female","F","Non-Hispanic","2186-5",1939,1501891,133.8,127.8,140.0,3.1,129.1,123.4,135.0,2.9
,"Colon and Rectum","21041-21052","Ohio","39","2019","2019","Male","M","Hispanic","2135-2",20,20634,107.8,62.9,172.5,26.1,96.9,59.2,149.7,21.7
,"Colon and Rectum","21041-21052","Ohio","39","2019","2019","Male","M","Non-Hispanic","2186-5",2150,1263465,185.3,177.3,193.6,4.1,170.2,163.0,177.5,3.7
,"Colon and Rectum","21041-21052","Ohio","39","2020","2020","Female","F","Hispanic","2135-2",19,25371,86.8,51.7,136.3,20.3,74.9,45.1,116.9,17.2
,"Colon and Rectum","21041-21052","Ohio","39","2020","2020","Female","F","Non-Hispanic","2186-5",1764,1526751,119.8,114.2,125.6,2.9,115.5,110.2,121.1,2.8
,"Colon and Rectum","21041-21052","Ohio","39","2020","2020","Male","M","Hispanic","2135-2",24,22388,129.5,80.8,196.4,27.8,107.2,68.7,159.5,21.9
,"Colon and Rectum","21041-21052","Ohio","39","2020","2020","Male","M","Non-Hispanic","2186-5",1856,1290164,157.5,150.2,165.1,3.8,143.9,137.4,150.6,3.3
,"Colon and Rectum","21041-21052","Ohio","39","2021","2021","Female","F","Hispanic","2135-2",18,26746,75.4,43.9,120.5,18.3,67.3,39.9,106.4,15.9
,"Colon and Rectum","21041-21052","Ohio","39","2021","2021","Female","F","Non-Hispanic","2186-5",1962,1547796,131.8,126.0,137.8,3.0,126.8,121.2,132.5,2.9
